Date,Temperature,Humidity,Pressure,WindSpeed
2024-01-01,20.5,65.0,1013.2,12.3
2024-01-02,21.0,63.5,1012.8,11.8
2024-01-03,19.8,64.2,1014.1,13.1
2024-01-04,85.7,66.1,1013.5,12.5
2024-01-05,20.1,62.8,1012.9,11.9
2024-01-06,21.3,98.9,1013.8,12.7
2024-01-07,20.8,64.5,1014.2,45.6
2024-01-08,19.5,63.9,1013.1,12.1
2024-01-09,20.9,65.5,956.3,11.8
2024-01-10,20.2,64.8,1013.7,12.4
2024-01-11,21.1,63.2,1014.0,12.9
2024-01-12,20.4,65.8,1013.4,12.2
2024-01-13,19.9,64.1,1013.9,11.7
2024-01-14,20.7,66.2,1014.3,12.6
2024-01-15,20.3,64.7,1013.6,12.0 